"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2013-01-11","India","England","England","bat","Saurashtra Cricket Association Stadium","325","49.6","4","316","49.6","10","England","runs","9"
"2009-01-16","Australia","South Africa","Australia","bat","Melbourne Cricket Ground","271","49.7","8","272","49.3","7","South Africa","wickets","3"
"2006-09-20","South Africa","Zimbabwe","South Africa","bat","Sedgars Park","418","49.6","5","247","49.6","4","South Africa","runs","171"
"2007-04-19","West Indies","Bangladesh","Bangladesh","field","Kensington Oval, Bridgetown","230","49.6","5","131","43.5","10","West Indies","runs","99"
"2015-02-24","West Indies","Zimbabwe","West Indies","bat","Manuka Oval","372","49.8","1","289","44.5","10","West Indies","runs","73"
"2013-11-21","India","West Indies","West Indies","bat","Nehru Stadium","211","48.5","10","212","35.2","4","India","wickets","6"
"2006-01-03","New Zealand","Sri Lanka","New Zealand","field","Jade Stadium","255","49.6","7","256","47.9","5","New Zealand","wickets","5"
"2015-07-12","Zimbabwe","India","Zimbabwe","field","Harare Sports Club","271","49.6","8","209","48.6","10","India","runs","62"
"2007-03-24","Australia","South Africa","South Africa","field","Warner Park, Basseterre","377","49.6","5","294","47.6","10","Australia","runs","83"
"2006-04-26","Bangladesh","Australia","Australia","bat","Narayanganj Osmani Stadium","250","49.6","4","183","47.6","10","Australia","runs","67"
"2014-01-24","Australia","England","Australia","field","Western Australia Cricket Association Ground","316","49.6","8","259","47.4","10","England","runs","57"
"2007-08-16","Scotland","India","India","field","Titwood","203","45.6","10","212","39.5","3","India","wickets","7"
"2013-02-11","New Zealand","West Indies","New Zealand","field","Brabourne Stadium","207","49.6","10","159","44.3","10","West Indies","runs","48"
"2015-11-04","Sri Lanka","West Indies","West Indies","bat","R Premadasa Stadium","214","37.4","10","225","36.3","2","Sri Lanka","wickets","8"
"2015-11-05","New Zealand","Sri Lanka","New Zealand","field","Bert Sutcliffe Oval","126","46.5","10","130","14.3","0","New Zealand","wickets","10"
