"Date","Team1","Team2","Toss_Winner","Toss_Decision","Venue","Run1","Over1","Wicket1","Run2","Over2","Wicket2","Winner","Winnerby","Margin"
"2008-06-15","England","New Zealand","New Zealand","field","Riverside Ground","307","49.9","5","193","42.5","10","England","runs","114"
"2008-02-17","Australia","India","Australia","bat","Adelaide Oval","203","49.6","10","153","41.2","10","Australia","runs","50"
"2009-10-05","Australia","New Zealand","New Zealand","bat","SuperSport Park","200","49.6","10","206","45.2","4","Australia","wickets","6"
"2010-03-10","West Indies","Zimbabwe","Zimbabwe","field","Arnos Vale Ground, Kingstown","245","49.8","10","104","31.5","10","West Indies","runs","141"
"2011-08-16","Zimbabwe","Bangladesh","Bangladesh","field","Harare Sports Club","250","49.6","7","245","49.2","10","Zimbabwe","runs","5"
"2007-10-02","India","Australia","India","field","Nehru Stadium","306","49.7","6","222","47.3","10","Australia","runs","84"
"2013-05-08","Zimbabwe","Bangladesh","Zimbabwe","field","Queens Sports Club","247","49.6","8","251","47.1","3","Zimbabwe","wickets","7"
"2012-12-14","Australia","New Zealand","Australia","field","North Sydney Oval","288","49.6","6","289","46.4","6","Australia","wickets","4"
"2016-10-11","South Africa","New Zealand","South Africa","field","Diamond Oval","222","49.6","8","226","49.1","6","South Africa","wickets","4"
"2011-01-18","South Africa","India","South Africa","bat","Newlands","220","49.3","10","223","48.2","8","India","wickets","2"
"2013-02-20","New Zealand","England","England","field","McLean Park","269","48.5","10","270","47.4","2","England","wickets","8"
"2008-11-20","India","England","England","bat","Green Park","240","48.4","10","198","39.6","5","India","runs","16"
"2016-07-17","Ireland","Afghanistan","Afghanistan","bat","Civil Service Cricket Club, Stormont","229","49.6","7","150","40.6","10","Afghanistan","runs","79"
"2008-09-06","Australia","Bangladesh","Australia","bat","Marrara Cricket Ground","198","49.7","5","125","29.5","8","Australia","runs","73"
"2006-08-13","Kenya","Bangladesh","Kenya","bat","Gymkhana Club Ground","184","46.3","10","185","46.1","8","Bangladesh","wickets","2"
"2013-07-07","West Indies","Sri Lanka","West Indies","field","Queen's Park Oval, Port of Spain","219","40.6","7","190","40.6","10","Sri Lanka","runs","39"
"2008-06-26","Pakistan","India","Pakistan","bat","National Stadium","299","49.6","5","301","42.1","4","India","wickets","6"
"2013-09-16","England","Australia","Australia","bat","The Rose Bowl","298","49.1","10","249","47.6","10","Australia","runs","49"
"2015-02-15","South Africa","Zimbabwe","Zimbabwe","field","Seddon Park","339","49.7","4","277","48.2","10","South Africa","runs","62"
"2006-10-16","New Zealand","South Africa","South Africa","field","Brabourne Stadium","195","45.4","10","108","34.1","10","New Zealand","runs","87"
"2013-03-11","Canada","Kenya","Canada","bat","ICC Global Cricket Academy","227","49.6","7","228","47.4","4","Kenya","wickets","6"
"2008-06-29","Pakistan","Sri Lanka","Pakistan","field","National Stadium","302","49.8","7","238","49.6","10","Sri Lanka","runs","64"
"2007-02-04","Australia","New Zealand","New Zealand","bat","Melbourne Cricket Ground","290","49.7","7","291","48.2","5","Australia","wickets","5"
"2015-06-17","England","New Zealand","New Zealand","bat","Trent Bridge","349","49.6","7","350","43.6","3","England","wickets","7"
"2010-01-11","Bangladesh","India","India","field","Shere Bangla National Stadium","247","49.6","6","249","42.6","4","India","wickets","6"
"2006-11-05","Australia","West Indies","West Indies","bat","Brabourne Stadium","138","30.4","10","116","28.1","2","Australia","wickets","8"
"2009-09-20","England","Australia","England","field","Riverside Ground","176","45.5","10","177","40.1","6","England","wickets","4"
"2015-11-09","Bangladesh","Zimbabwe","Zimbabwe","field","Shere Bangla National Stadium","241","49.6","10","183","43.2","10","Bangladesh","runs","58"
"2010-05-30","India","Sri Lanka","India","field","Queens Sports Club","242","49.6","10","243","43.3","3","India","wickets","7"
"2006-02-25","New Zealand","West Indies","New Zealand","bat","Jade Stadium","276","49.6","6","255","48.6","10","New Zealand","runs","21"
"2011-03-10","Sri Lanka","Zimbabwe","Zimbabwe","field","Pallekele International Cricket Stadium","327","49.6","6","188","38.6","10","Sri Lanka","runs","139"
"2014-10-12","Australia","Pakistan","Australia","bat","Sheikh Zayed Stadium","231","49.6","10","230","49.6","10","Australia","runs","1"
"2013-01-19","India","England","India","field","JSCA International Stadium Complex","155","42.2","10","157","28.1","3","India","wickets","7"
"2015-12-26","New Zealand","Sri Lanka","Sri Lanka","bat","Hagley Oval","188","46.6","10","191","20.6","3","New Zealand","wickets","7"
"2006-10-13","Bangladesh","Zimbabwe","Zimbabwe","field","Sawai Mansingh Stadium","231","49.6","6","130","44.4","10","Bangladesh","runs","101"
"2009-04-03","West Indies","England","West Indies","field","Beausejour Stadium, Gros Islet","172","28.6","5","146","27.7","10","England","runs","26"
"2014-08-25","West Indies","Bangladesh","West Indies","bat","Warner Park, Basseterre","338","49.6","7","247","49.7","8","West Indies","runs","91"
"2010-02-09","Australia","West Indies","West Indies","bat","Adelaide Oval","170","39.4","10","171","26.3","2","Australia","wickets","8"
"2014-02-26","Bangladesh","India","India","field","Khan Shaheb Osman Ali Stadium","279","49.6","7","280","48.6","4","India","wickets","6"
"2006-02-25","Bangladesh","Sri Lanka","Bangladesh","field","Chittagong Divisional Stadium","309","49.6","7","231","49.6","10","Sri Lanka","runs","78"
"2015-02-18","Afghanistan","Bangladesh","Bangladesh","bat","Manuka Oval","267","49.6","10","162","42.5","10","Bangladesh","runs","105"
"2011-03-23","Pakistan","West Indies","West Indies","bat","Shere Bangla National Stadium","112","43.3","10","113","20.5","0","Pakistan","wickets","10"
"2009-11-02","India","Australia","India","field","Punjab Cricket Association Stadium, Mohali","250","49.3","10","226","46.4","10","Australia","runs","24"
"2006-12-03","South Africa","India","South Africa","field","SuperSport Park","200","49.6","8","201","31.3","1","South Africa","wickets","9"
"2007-02-14","South Africa","Pakistan","Pakistan","bat","New Wanderers Stadium","153","40.5","10","156","28.2","1","South Africa","wickets","9"
"2015-03-09","Bangladesh","England","England","field","Adelaide Oval","275","49.6","7","260","48.3","10","Bangladesh","runs","15"
"2011-02-28","Netherlands","West Indies","Netherlands","field","Feroz Shah Kotla","330","49.6","8","115","31.3","10","West Indies","runs","215"
"2016-06-26","West Indies","Australia","Australia","bat","Kensington Oval, Bridgetown","270","49.6","10","212","45.4","10","Australia","runs","58"
"2009-11-06","New Zealand","Pakistan","New Zealand","bat","Sheikh Zayed Stadium","303","49.6","8","239","47.2","10","New Zealand","runs","64"
"2014-11-06","India","Sri Lanka","Sri Lanka","bat","Sardar Patel Stadium, Motera","274","49.7","8","275","44.3","4","India","wickets","6"
"2015-06-21","Bangladesh","India","India","bat","Shere Bangla National Stadium","200","44.6","10","200","37.6","4","Bangladesh","wickets","6"
"2010-02-07","Australia","West Indies","West Indies","field","Melbourne Cricket Ground","256","49.6","8","143","34.2","10","Australia","runs","113"
"2008-06-24","Bangladesh","United Arab Emirates","Bangladesh","bat","Gaddafi Stadium","300","49.6","7","204","45.4","10","Bangladesh","runs","96"
"2011-06-13","West Indies","India","India","field","Sir Vivian Richards Stadium, North Sound","249","49.6","8","146","38.6","10","West Indies","runs","103"
"2014-05-25","England","Sri Lanka","England","field","Riverside Ground","256","49.6","8","99","26.1","10","Sri Lanka","runs","157"
"2014-02-22","Bangladesh","Sri Lanka","Sri Lanka","field","Shere Bangla National Stadium","240","49.6","8","246","47.3","4","Sri Lanka","wickets","6"
"2012-12-05","Bangladesh","West Indies","West Indies","field","Shere Bangla National Stadium","227","49.1","10","228","46.6","6","West Indies","wickets","4"
"2008-08-30","Australia","Bangladesh","Bangladesh","field","Marrara Cricket Ground","254","49.6","7","74","27.4","10","Australia","runs","180"
"2007-03-31","Australia","Bangladesh","Australia","field","Sir Vivian Richards Stadium, North Sound","104","21.7","6","106","13.5","0","Australia","wickets","10"
"2009-05-24","England","West Indies","England","field","County Ground","160","38.3","10","161","35.6","4","England","wickets","6"
"2015-01-20","New Zealand","Sri Lanka","Sri Lanka","bat","Saxton Oval","276","49.5","10","280","48.1","6","New Zealand","wickets","4"
"2011-04-02","India","Sri Lanka","Sri Lanka","bat","Wankhede Stadium","274","49.6","6","277","48.2","4","India","wickets","6"
"2006-10-21","Australia","England","Australia","field","Sawai Mansingh Stadium","169","44.6","10","170","36.6","4","Australia","wickets","6"
"2007-03-23","India","Sri Lanka","India","field","Queen's Park Oval, Port of Spain","254","49.6","6","185","43.3","10","Sri Lanka","runs","69"
"2014-12-19","New Zealand","Pakistan","New Zealand","bat","Sheikh Zayed Stadium","275","49.6","4","207","43.3","10","New Zealand","runs","68"
"2006-11-29","South Africa","India","South Africa","bat","St George's Park","243","49.6","8","163","38.1","10","South Africa","runs","80"
"2011-10-23","India","England","England","bat","Wankhede Stadium","220","46.1","10","223","40.1","4","India","wickets","6"
"2009-11-05","Bangladesh","Zimbabwe","Bangladesh","field","Zohur Ahmed Chowdhury Stadium","221","49.7","10","222","48.6","10","Bangladesh","wickets","1"
"2011-11-23","Pakistan","Sri Lanka","Sri Lanka","bat","Sheikh Zayed Stadium","218","49.6","8","219","47.2","7","Pakistan","wickets","3"
"2011-08-10","Sri Lanka","Australia","Sri Lanka","bat","Pallekele International Cricket Stadium","191","41.1","10","192","38.1","3","Australia","wickets","7"
"2013-10-26","South Africa","Sri Lanka","Sri Lanka","field","Senwes Park","274","49.6","3","207","49.6","10","South Africa","runs","67"
"2013-02-13","England","New Zealand","England","bat","Brabourne Stadium","266","49.6","6","251","49.7","10","England","runs","15"
"2009-08-27","Ireland","England","England","bat","Civil Service Cricket Club, Stormont","203","49.6","10","112","19.6","10","England","runs","3"
"2010-06-22","England","Australia","Australia","bat","The Rose Bowl","267","49.6","7","268","45.6","6","England","wickets","4"
"2015-02-26","Afghanistan","Scotland","Afghanistan","field","University Oval","210","49.6","10","211","49.3","10","Afghanistan","wickets","1"
"2006-04-15","India","England","India","field","Maharani Usharaje Trust Cricket Ground","288","49.6","10","289","49.1","3","India","wickets","7"
"2012-12-07","Bangladesh","West Indies","Bangladesh","field","Shere Bangla National Stadium","211","49.8","10","136","34.1","10","West Indies","runs","75"
"2007-10-01","Sri Lanka","England","Sri Lanka","bat","Rangiri Dambulla International Stadium","269","49.6","7","150","34.5","10","Sri Lanka","runs","119"
"2007-04-09","Ireland","New Zealand","New Zealand","bat","Providence Stadium","263","49.6","8","134","37.4","10","New Zealand","runs","129"
"2013-06-05","England","New Zealand","New Zealand","field","Trent Bridge","287","49.7","6","253","46.3","10","England","runs","34"
"2012-02-18","Kenya","Ireland","Ireland","bat","Mombasa Sports Club Ground","200","47.3","10","201","42.6","3","Kenya","wickets","7"
"2015-07-21","England","Australia","Australia","bat","County Ground","238","49.6","10","240","45.4","6","England","wickets","4"
"2012-02-20","Kenya","Ireland","Ireland","bat","Mombasa Sports Club Ground","237","49.7","10","120","35.1","10","Ireland","runs","117"
"2014-01-28","Canada","Netherlands","Canada","bat","Bay Oval","210","49.6","10","212","36.4","2","Netherlands","wickets","8"
"2011-03-20","Kenya","Zimbabwe","Zimbabwe","bat","Eden Gardens","308","49.6","6","147","35.6","10","Zimbabwe","runs","161"
"2013-02-17","Australia","West Indies","Australia","bat","Brabourne Stadium","259","49.6","7","145","43.1","10","Australia","runs","114"
"2015-04-17","Bangladesh","Pakistan","Bangladesh","bat","Shere Bangla National Stadium","329","49.8","5","250","45.2","10","Bangladesh","runs","79"
"2012-03-25","West Indies","Australia","West Indies","field","Beausejour Stadium, Gros Islet","281","49.6","10","251","47.2","10","Australia","runs","30"
"2011-10-19","South Africa","Australia","South Africa","field","SuperSport Park","183","28.6","4","129","21.6","10","Australia","runs","93"
"2010-02-21","India","South Africa","South Africa","field","Sawai Mansingh Stadium","298","49.6","10","297","49.7","10","India","runs","1"
"2009-03-10","England","India","England","field","North Sydney Oval","169","48.4","10","172","38.4","1","England","wickets","9"
"2008-06-27","West Indies","Australia","Australia","bat","National Cricket Stadium, St George's","213","49.7","5","140","40.6","8","Australia","runs","63"
"2009-03-14","New Zealand","India","India","bat","Eden Park","149","36.3","10","151","23.2","2","New Zealand","wickets","8"
"2006-09-05","England","Pakistan","Pakistan","field","The Rose Bowl","271","49.6","10","274","48.6","8","Pakistan","wickets","2"
"2006-06-24","England","Sri Lanka","England","bat","Riverside Ground","261","49.6","7","265","42.3","2","Sri Lanka","wickets","8"
"2012-06-07","Sri Lanka","Pakistan","Sri Lanka","bat","Pallekele International Cricket Stadium","135","41.6","8","135","34.1","4","Pakistan","wickets","6"
"2015-03-21","New Zealand","West Indies","New Zealand","bat","Westpac Stadium","393","49.6","6","250","30.3","10","New Zealand","runs","143"
"2009-09-08","Sri Lanka","New Zealand","Sri Lanka","bat","R Premadasa Stadium","216","49.6","7","119","36.1","10","Sri Lanka","runs","97"
"2013-11-11","Pakistan","South Africa","South Africa","bat","Sharjah Cricket Stadium","268","49.6","7","151","35.4","10","South Africa","runs","117"
"2013-11-27","South Africa","Pakistan","South Africa","field","St George's Park","262","44.6","10","261","44.6","6","Pakistan","runs","1"
"2015-03-06","India","West Indies","West Indies","bat","Western Australia Cricket Association Ground","182","44.2","10","185","39.1","6","India","wickets","4"
"2015-02-16","Ireland","West Indies","Ireland","field","Saxton Oval","304","49.6","7","307","45.5","6","Ireland","wickets","4"
"2007-05-12","Bangladesh","India","India","bat","Shere Bangla National Stadium","284","48.9","8","238","48.6","10","India","runs","46"
"2014-05-02","Afghanistan","United Arab Emirates","United Arab Emirates","field","Kinrara Academy Oval","302","49.6","5","232","44.3","10","Afghanistan","runs","70"
"2011-02-26","Sri Lanka","Pakistan","Pakistan","bat","R Premadasa Stadium","277","49.7","6","266","49.6","10","Pakistan","runs","11"
"2008-06-29","Canada","Bermuda","Canada","field","Maple Leaf North-West Ground","201","49.6","8","184","45.3","10","Bermuda","runs","11"
"2010-05-22","West Indies","South Africa","West Indies","field","Sir Vivian Richards Stadium, North Sound","280","47.6","7","215","44.1","10","South Africa","runs","66"
"2011-11-18","Pakistan","Sri Lanka","Pakistan","bat","Dubai International Cricket Stadium","257","49.6","8","236","48.5","10","Pakistan","runs","21"
"2016-10-07","Bangladesh","England","England","bat","Shere Bangla National Stadium","309","49.6","7","288","47.6","10","England","runs","21"
"2006-12-05","Bangladesh","Zimbabwe","Zimbabwe","field","Shaheed Chandu Stadium","220","49.2","10","194","48.7","10","Bangladesh","runs","26"
"2006-10-27","Pakistan","South Africa","South Africa","bat","Punjab Cricket Association Stadium, Mohali","213","49.7","8","89","24.6","10","South Africa","runs","124"
"2008-10-17","Ireland","Zimbabwe","Zimbabwe","bat","Gymkhana Club Ground","303","49.6","7","147","46.1","10","Zimbabwe","runs","156"
"2012-07-05","Ireland","Afghanistan","Afghanistan","field","Clontarf Cricket Club Ground","163","46.7","10","104","33.1","10","Ireland","runs","59"
"2013-07-01","England","Pakistan","England","bat","Louth Cricket Club","227","49.6","7","116","41.2","10","England","runs","111"
"2013-08-03","Zimbabwe","India","India","field","Queens Sports Club","163","39.6","10","167","33.6","3","India","wickets","7"
"2014-11-23","Australia","South Africa","South Africa","bat","Sydney Cricket Ground","280","49.6","6","275","47.1","8","Australia","wickets","2"
"2011-09-19","Ireland","Canada","Canada","field","Clontarf Cricket Club Ground","328","49.6","6","195","48.4","10","Ireland","runs","133"
"2014-12-16","Sri Lanka","England","Sri Lanka","bat","R Premadasa Stadium","302","49.6","6","215","45.5","10","Sri Lanka","runs","87"
"2011-11-20","Pakistan","Sri Lanka","Pakistan","bat","Sharjah Cricket Stadium","200","49.4","10","174","45.2","10","Pakistan","runs","26"
"2015-04-22","Bangladesh","Pakistan","Pakistan","bat","Shere Bangla National Stadium","250","48.6","10","251","39.4","2","Bangladesh","wickets","8"
"2016-10-29","India","New Zealand","India","bat","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","269","49.6","6","79","23.1","10","India","runs","190"
"2006-04-23","Bangladesh","Australia","Bangladesh","bat","Chittagong Divisional Stadium","195","46.7","10","196","43.6","6","Australia","wickets","4"
"2011-02-20","Kenya","New Zealand","Kenya","bat","MA Chidambaram Stadium, Chepauk","69","23.5","10","72","7.6","0","New Zealand","wickets","10"
"2011-03-19","Bangladesh","South Africa","South Africa","bat","Shere Bangla National Stadium","284","49.6","8","78","27.6","10","South Africa","runs","206"
"2006-12-13","Pakistan","West Indies","Pakistan","bat","Multan Cricket Stadium","209","49.5","10","212","34.5","3","West Indies","wickets","7"
"2007-04-13","Australia","Ireland","Australia","field","Kensington Oval, Bridgetown","91","29.6","10","92","12.2","1","Australia","wickets","9"
"2012-03-02","Australia","Sri Lanka","Sri Lanka","bat","Melbourne Cricket Ground","238","49.6","10","229","49.1","10","Sri Lanka","runs","9"
"2010-11-07","Australia","Sri Lanka","Sri Lanka","bat","Brisbane Cricket Ground, Woolloongabba","115","31.7","10","119","21.4","2","Australia","wickets","8"
"2007-02-11","South Africa","Pakistan","South Africa","field","Newlands","107","45.4","10","113","13.6","0","South Africa","wickets","10"
"2011-04-11","Bangladesh","Australia","Bangladesh","bat","Shere Bangla National Stadium","229","49.6","7","232","25.6","1","Australia","wickets","9"
"2010-08-22","Sri Lanka","India","India","bat","Rangiri Dambulla International Stadium","103","33.4","10","104","15.1","2","Sri Lanka","wickets","8"
"2011-08-14","Sri Lanka","Australia","Sri Lanka","bat","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","208","49.3","10","211","38.2","2","Australia","wickets","8"
"2007-03-21","Bangladesh","Sri Lanka","Bangladesh","field","Queen's Park Oval, Port of Spain","318","49.6","4","112","36.7","10","Sri Lanka","runs","198"
"2010-03-05","Bangladesh","England","Bangladesh","field","Zohur Ahmed Chowdhury Stadium","284","49.6","5","239","49.6","10","England","runs","45"
"2009-03-22","West Indies","England","West Indies","bat","Providence Stadium","264","49.6","8","243","48.3","10","West Indies","runs","21"
"2013-06-08","England","Australia","England","bat","Edgbaston","269","49.7","6","221","49.7","10","England","runs","48"
"2006-03-01","New Zealand","West Indies","West Indies","field","McLean Park","324","49.6","6","233","49.6","8","New Zealand","runs","91"
"2011-02-06","Sri Lanka","West Indies","West Indies","field","Sinhalese Sports Club Ground","277","49.6","8","251","48.6","10","Sri Lanka","runs","26"
"2006-09-20","India","West Indies","India","bat","Kinrara Academy Oval","162","39.3","10","146","40.6","10","India","runs","16"
"2006-09-18","Australia","West Indies","Australia","bat","Kinrara Academy Oval","272","49.6","6","273","47.2","7","West Indies","wickets","3"
"2010-11-05","Pakistan","South Africa","South Africa","bat","Dubai International Cricket Stadium","274","49.7","6","275","49.5","10","Pakistan","wickets","1"
"2008-11-26","India","England","India","field","Barabati Stadium","270","49.6","4","273","43.4","4","India","wickets","6"
"2016-09-18","Sri Lanka","Australia","Sri Lanka","bat","Rangiri Dambulla International Stadium","76","24.6","10","79","15.4","6","Australia","wickets","4"
"2013-06-23","England","India","England","field","Edgbaston","129","19.6","7","124","19.6","8","India","runs","5"
"2013-08-29","Zimbabwe","Pakistan","Zimbabwe","field","Harare Sports Club","299","49.6","4","209","42.4","10","Pakistan","runs","90"
"2011-04-25","West Indies","Pakistan","Pakistan","field","Beausejour Stadium, Gros Islet","220","49.6","10","223","47.6","3","Pakistan","wickets","7"
"2016-10-17","South Africa","New Zealand","New Zealand","field","Boland Park","194","48.7","10","196","28.2","2","New Zealand","wickets","8"
"2015-02-26","Bangladesh","Sri Lanka","Sri Lanka","bat","Melbourne Cricket Ground","332","49.7","1","240","46.6","10","Sri Lanka","runs","92"
"2015-02-28","New Zealand","Australia","Australia","bat","Eden Park","151","32.2","10","152","23.1","10","New Zealand","wickets","1"
"2010-02-28","Bangladesh","England","England","field","Shere Bangla National Stadium","228","45.4","10","229","45.6","4","England","wickets","6"
"2016-06-27","England","Pakistan","England","bat","County Ground","366","49.6","4","164","44.5","10","England","runs","202"
"2015-03-11","Scotland","Sri Lanka","Sri Lanka","bat","Bellerive Oval","363","49.6","10","215","43.1","10","Sri Lanka","runs","148"
"2012-08-25","Afghanistan","Australia","Australia","bat","Sharjah Cricket Association Stadium","272","49.6","8","206","43.5","10","Australia","runs","66"
"2011-08-22","Sri Lanka","Australia","Sri Lanka","field","R Premadasa Stadium","211","46.1","10","213","46.6","6","Sri Lanka","wickets","4"
"2009-04-17","South Africa","Australia","South Africa","field","New Wanderers Stadium","303","49.6","7","256","45.6","10","Australia","runs","47"
"2011-03-06","England","South Africa","England","bat","MA Chidambaram Stadium, Chepauk","171","45.5","10","165","47.4","10","England","runs","6"
"2010-09-06","Canada","Ireland","Ireland","bat","Toronto Cricket","175","34.6","10","163","32.6","4","Canada","runs","4"
"2011-03-13","Australia","Kenya","Australia","bat","M Chinnaswamy Stadium","324","49.6","6","264","49.6","6","Australia","runs","60"
"2010-01-05","India","Sri Lanka","Sri Lanka","field","Shere Bangla National Stadium","279","49.6","10","283","47.7","5","Sri Lanka","wickets","5"
"2010-06-22","Sri Lanka","India","Sri Lanka","field","Rangiri Dambulla International Stadium","209","42.3","10","211","37.3","3","Sri Lanka","wickets","7"
"2007-01-30","England","New Zealand","New Zealand","bat","Western Australia Cricket Association Ground","318","49.7","7","260","49.7","7","New Zealand","runs","58"
"2012-07-31","Sri Lanka","India","Sri Lanka","bat","R Premadasa Stadium","251","49.6","8","255","42.2","4","India","wickets","6"
"2011-02-23","Kenya","Pakistan","Pakistan","bat","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","317","49.8","7","112","33.1","10","Pakistan","runs","205"
"2014-08-27","England","India","England","field","Sophia Gardens","304","49.6","6","161","38.1","10","India","runs","133"
"2015-03-19","Bangladesh","India","India","bat","Melbourne Cricket Ground","302","49.6","6","193","44.6","10","India","runs","109"
"2012-01-22","South Africa","Sri Lanka","Sri Lanka","field","New Wanderers Stadium","312","49.6","4","314","49.5","8","Sri Lanka","wickets","2"
"2012-02-05","Australia","India","India","field","Melbourne Cricket Ground","216","31.8","5","151","29.4","10","Australia","runs","65"
"2009-09-22","South Africa","Sri Lanka","South Africa","field","SuperSport Park","319","49.6","7","206","37.4","7","Sri Lanka","runs","55"
"2015-08-07","Zimbabwe","New Zealand","Zimbabwe","field","Harare Sports Club","273","49.6","6","235","47.4","10","New Zealand","runs","38"
"2016-08-18","Ireland","Pakistan","Ireland","field","The Village, Malahide","337","46.6","6","82","23.4","10","Pakistan","runs","255"
"2015-02-25","Ireland","United Arab Emirates","Ireland","field","Brisbane Cricket Ground, Woolloongabba","278","49.6","10","279","49.2","8","Ireland","wickets","2"
"2015-12-31","New Zealand","Sri Lanka","New Zealand","bat","Saxton Oval","276","49.6","8","277","46.2","2","Sri Lanka","wickets","8"
"2008-08-22","England","South Africa","England","bat","Headingley","275","49.6","4","255","49.4","10","England","runs","20"
"2011-03-16","Australia","Canada","Canada","bat","M Chinnaswamy Stadium","211","45.4","10","212","34.6","3","Australia","wickets","7"
"2012-07-16","West Indies","New Zealand","West Indies","bat","Warner Park, Basseterre","241","49.6","10","221","49.6","10","West Indies","runs","20"
"2007-01-12","Australia","England","England","bat","Melbourne Cricket Ground","242","49.6","8","246","45.2","2","Australia","wickets","8"
"2012-07-21","Sri Lanka","India","India","bat","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","314","49.6","6","293","49.6","10","India","runs","21"
"2015-10-22","India","South Africa","India","bat","MA Chidambaram Stadium, Chepauk","299","49.6","7","264","49.6","10","India","runs","35"
"2015-01-14","Afghanistan","Scotland","Scotland","bat","Sheikh Zayed Stadium","213","49.6","7","63","18.3","10","Scotland","runs","150"
"2011-06-29","Scotland","Netherlands","Scotland","field","Mannofield Park","180","49.6","8","162","39.1","5","Scotland","wickets","5"
"2010-07-10","England","Bangladesh","England","field","County Ground","236","49.6","7","231","49.3","10","Bangladesh","runs","5"
"2015-07-10","Zimbabwe","India","Zimbabwe","field","Harare Sports Club","255","49.6","6","251","49.6","7","India","runs","4"
"2009-10-27","Bangladesh","Zimbabwe","Zimbabwe","field","Shere Bangla National Stadium","186","46.5","10","189","34.4","5","Zimbabwe","wickets","5"
"2008-06-12","Bangladesh","India","Bangladesh","bat","Shere Bangla National Stadium","222","49.6","10","223","35.1","3","India","wickets","7"
"2015-08-02","Zimbabwe","New Zealand","Zimbabwe","field","Harare Sports Club","303","49.6","4","304","49.1","3","Zimbabwe","wickets","7"
"2015-02-19","United Arab Emirates","Zimbabwe","Zimbabwe","field","Saxton Oval","285","49.6","7","286","47.6","6","Zimbabwe","wickets","4"
"2010-01-08","Bangladesh","Sri Lanka","Sri Lanka","field","Shere Bangla National Stadium","249","49.6","10","252","42.6","1","Sri Lanka","wickets","9"
"2015-02-22","India","South Africa","India","bat","Melbourne Cricket Ground","307","49.6","7","177","40.3","10","India","runs","130"
"2007-04-17","England","South Africa","England","bat","Kensington Oval, Bridgetown","154","47.6","10","157","19.2","1","South Africa","wickets","9"
"2011-08-16","Sri Lanka","Australia","Australia","field","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","286","49.7","8","208","44.2","10","Sri Lanka","runs","78"
"2011-09-20","Ireland","Canada","Ireland","bat","Clontarf Cricket Club Ground","249","49.6","7","193","46.3","10","Ireland","runs","56"
"2007-02-18","New Zealand","Australia","New Zealand","field","Eden Park","336","49.6","4","340","48.4","5","New Zealand","wickets","5"
"2009-01-07","New Zealand","West Indies","New Zealand","field","Westpac Stadium","128","41.4","10","129","20.5","3","New Zealand","wickets","7"
"2007-04-10","West Indies","South Africa","West Indies","field","National Cricket Stadium, St George's","356","49.6","4","289","49.7","10","South Africa","runs","67"
"2007-03-20","Kenya","New Zealand","Kenya","field","Beausejour Stadium, Gros Islet","331","49.6","7","183","49.2","10","New Zealand","runs","148"
"2007-03-30","England","Ireland","England","bat","Providence Stadium","266","49.6","7","218","48.1","10","England","runs","48"
"2016-09-25","Bangladesh","Afghanistan","Bangladesh","bat","Shere Bangla National Stadium","265","49.6","10","258","49.6","10","Bangladesh","runs","7"
"2012-02-10","Australia","Sri Lanka","Sri Lanka","field","Western Australia Cricket Association Ground","231","49.1","10","226","49.5","10","Australia","runs","5"
"2013-07-26","Zimbabwe","India","Zimbabwe","field","Harare Sports Club","294","49.6","8","236","49.6","10","India","runs","58"
"2006-09-22","Australia","India","Australia","bat","Kinrara Academy Oval","213","48.1","10","195","43.5","10","Australia","runs","18"
"2010-12-01","Bangladesh","Zimbabwe","Bangladesh","field","Shere Bangla National Stadium","209","48.6","10","200","48.6","10","Zimbabwe","runs","9"
"2014-11-19","Australia","South Africa","Australia","bat","Manuka Oval","329","49.7","5","256","44.3","8","Australia","runs","73"
"2012-07-07","West Indies","New Zealand","New Zealand","field","Sabina Park, Kingston","315","49.6","5","260","46.6","10","West Indies","runs","55"
"2013-02-26","West Indies","Zimbabwe","Zimbabwe","bat","National Cricket Stadium, St George's","211","49.6","10","215","46.2","5","West Indies","wickets","5"
"2010-10-11","Bangladesh","New Zealand","Bangladesh","field","Shere Bangla National Stadium","173","42.5","10","177","40.1","3","Bangladesh","wickets","7"
"2008-06-30","Bangladesh","Sri Lanka","Sri Lanka","bat","National Stadium","332","49.6","8","174","38.3","10","Sri Lanka","runs","158"
"2014-08-20","West Indies","Bangladesh","West Indies","field","National Cricket Stadium, St George's","217","49.6","8","219","39.4","7","West Indies","wickets","3"
"2010-03-03","New Zealand","Australia","Australia","bat","McLean Park","275","49.6","8","281","49.2","8","New Zealand","wickets","2"
"2007-04-21","West Indies","England","England","field","Kensington Oval, Bridgetown","300","49.5","10","301","49.5","10","England","wickets","1"
"2010-05-30","West Indies","South Africa","West Indies","bat","Windsor Park, Roseau","303","49.6","6","304","49.6","3","South Africa","wickets","7"
"2007-10-28","Kenya","Bermuda","Bermuda","bat","Gymkhana Club Ground","167","46.5","10","169","36.2","10","Kenya","wickets","1"
"2009-07-31","West Indies","Bangladesh","West Indies","bat","Warner Park, Basseterre","248","47.4","10","249","48.6","7","Bangladesh","wickets","3"
